metric,mean,p05,p50,p95,seed,draws
BEV_CAISO_g_co2e_km,68.71280397243133,54.36522209303234,68.55242573912807,83.73079511366201,20260108,10000
E85_cellulosic_g_co2e_km,96.6156138880019,78.04777281335421,96.26992911836655,115.85457458857837,20260108,10000
BEV_minus_E85_g_co2e_km,-27.902809915570565,-51.79197584900842,-28.06180765672176,-3.891356310200138,20260108,10000
Pr_abs_diff_lt_10_g_km,0.1071,,,,20260108,10000
Pr_abs_diff_lt_25_g_km,0.4182,,,,20260108,10000
Pr_abs_diff_lt_40_g_km,0.7967,,,,20260108,10000
