draws,metric,mean,std,p05,p50,p95,delta_mean_vs_full
1000,BEV_minus_E85_g_co2e_km,-28.231843564781432,14.115774379299493,-51.78015398197559,-28.59062631487737,-5.254949131831684,-0.3290336492108672
2500,BEV_minus_E85_g_co2e_km,-28.26182749845144,14.508731906156711,-52.31517662265906,-28.453643385265362,-4.289575355560091,-0.35901758288087393
5000,BEV_minus_E85_g_co2e_km,-27.9821524250978,14.402574861352193,-51.75374602789066,-28.21129853205437,-4.166457352015604,-0.07934250952723687
10000,BEV_minus_E85_g_co2e_km,-27.902809915570565,14.41157284039526,-51.79197584900842,-28.06180765672176,-3.891356310200138,0.0
